País de residencia;Tipo de dato;Año;Mes;Total
Resto del Mundo;Dato base;2021;7;135738
Rusia;Dato base;2021;7;19276
Suiza;Dato base;2021;7;156790
Alemania;Dato base;2021;8;679144
Bélgica;Dato base;2021;8;238814
Estados Unidos de América;Dato base;2021;8;113549
Francia;Dato base;2021;8;1292411
Irlanda;Dato base;2021;8;111001
Italia;Dato base;2021;8;309752
Países Bajos;Dato base;2021;8;414900
Países Nórdicos;Dato base;2021;8;174888
Portugal;Dato base;2021;8;254475
Reino Unido;Dato base;2021;8;714013
Resto América;Dato base;2021;8;117694
Resto de Europa;Dato base;2021;8;465719
Resto del Mundo;Dato base;2021;8;152172
Rusia;Dato base;2021;8;14802
Suiza;Dato base;2021;8;143186
Alemania;Dato base;2021;9;833147
Bélgica;Dato base;2021;9;236285
Estados Unidos de América;Dato base;2021;9;140884
Francia;Dato base;2021;9;689153
Irlanda;Dato base;2021;9;130196
Italia;Dato base;2021;9;237310
Países Bajos;Dato base;2021;9;361606
Países Nórdicos;Dato base;2021;9;235910
Portugal;Dato base;2021;9;173206
Reino Unido;Dato base;2021;9;788194
Resto América;Dato base;2021;9;139269
Resto de Europa;Dato base;2021;9;436605
Resto del Mundo;Dato base;2021;9;161128
Rusia;Dato base;2021;9;21095
Suiza;Dato base;2021;9;119944
Alemania;Dato base;2021;10;929665
Bélgica;Dato base;2021;10;207983
Estados Unidos de América;Dato base;2021;10;131656
Francia;Dato base;2021;10;752882
Irlanda;Dato base;2021;10;141892
Italia;Dato base;2021;10;217969
Países Bajos;Dato base;2021;10;366856
Países Nórdicos;Dato base;2021;10;371608
Portugal;Dato base;2021;10;146084
Reino Unido;Dato base;2021;10;957025
Resto América;Dato base;2021;10;172513
Resto de Europa;Dato base;2021;10;396870
Resto del Mundo;Dato base;2021;10;146547
Rusia;Dato base;2021;10;20385
Suiza;Dato base;2021;10;188883
Alemania;Dato base;2021;11;480277
Bélgica;Dato base;2021;11;150687
Estados Unidos de América;Dato base;2021;11;109874
Francia;Dato base;2021;11;498667
Irlanda;Dato base;2021;11;78871
Italia;Dato base;2021;11;211377
Países Bajos;Dato base;2021;11;172807
Países Nórdicos;Dato base;2021;11;285256
Portugal;Dato base;2021;11;114682
Reino Unido;Dato base;2021;11;598624
Resto América;Dato base;2021;11;162047
Resto de Europa;Dato base;2021;11;305597
Resto del Mundo;Dato base;2021;11;112744
Rusia;Dato base;2021;11;13739
Suiza;Dato base;2021;11;66664
Alemania;Dato base;2021;12;404430
Bélgica;Dato base;2021;12;131835
Estados Unidos de América;Dato base;2021;12;97848
Francia;Dato base;2021;12;530562
Irlanda;Dato base;2021;12;61658
Italia;Dato base;2021;12;196774
Países Bajos;Dato base;2021;12;147840
Países Nórdicos;Dato base;2021;12;241406
Portugal;Dato base;2021;12;95354
Reino Unido;Dato base;2021;12;415656
Resto América;Dato base;2021;12;151539
Resto de Europa;Dato base;2021;12;279355
Resto del Mundo;Dato base;2021;12;117876
Rusia;Dato base;2021;12;15886
Suiza;Dato base;2021;12;59506
Alemania;Dato base;2022;1;282002
Bélgica;Dato base;2022;1;103568
Estados Unidos de América;Dato base;2022;1;68894
Francia;Dato base;2022;1;347451
Irlanda;Dato base;2022;1;70208
Italia;Dato base;2022;1;156847
Países Bajos;Dato base;2022;1;185268
Países Nórdicos;Dato base;2022;1;207972
Portugal;Dato base;2022;1;92724
Reino Unido;Dato base;2022;1;364528
Resto América;Dato base;2022;1;166837
Resto de Europa;Dato base;2022;1;304034
Resto del Mundo;Dato base;2022;1;72454
Rusia;Dato base;2022;1;18563
Suiza;Dato base;2022;1;60093
Alemania;Dato base;2022;2;389420
Bélgica;Dato base;2022;2;120461
Estados Unidos de América;Dato base;2022;2;69157
Francia;Dato base;2022;2;514035
Irlanda;Dato base;2022;2;79901
Italia;Dato base;2022;2;166835
Países Bajos;Dato base;2022;2;180896
Países Nórdicos;Dato base;2022;2;248322
Portugal;Dato base;2022;2;130212
Reino Unido;Dato base;2022;2;578598
Resto América;Dato base;2022;2;139871
Resto de Europa;Dato base;2022;2;337723
Resto del Mundo;Dato base;2022;2;139964
Rusia;Dato base;2022;2;12965
Suiza;Dato base;2022;2;70929
Alemania;Dato base;2022;3;608382
Bélgica;Dato base;2022;3;144268
Estados Unidos de América;Dato base;2022;3;150458
Francia;Dato base;2022;3;457400
Irlanda;Dato base;2022;3;109307
Italia;Dato base;2022;3;235869
Países Bajos;Dato base;2022;3;222929
Países Nórdicos;Dato base;2022;3;295894
Portugal;Dato base;2022;3;120769
Reino Unido;Dato base;2022;3;826572
Resto América;Dato base;2022;3;210576
Resto de Europa;Dato base;2022;3;426426
Resto del Mundo;Dato base;2022;3;147694
Rusia;Dato base;2022;3;.
Suiza;Dato base;2022;3;82987
Alemania;Dato base;2022;4;990455
Bélgica;Dato base;2022;4;230930
Estados Unidos de América;Dato base;2022;4;198897
Francia;Dato base;2022;4;826837
Irlanda;Dato base;2022;4;188898
Italia;Dato base;2022;4;298122
Países Bajos;Dato base;2022;4;318612
Países Nórdicos;Dato base;2022;4;388057
Portugal;Dato base;2022;4;206044
Reino Unido;Dato base;2022;4;1245117
Resto América;Dato base;2022;4;307478
Resto de Europa;Dato base;2022;4;561714
Resto del Mundo;Dato base;2022;4;168019
Rusia;Dato base;2022;4;
Suiza;Dato base;2022;4;177137
Alemania;Dato base;2022;5;976860
Bélgica;Dato base;2022;5;199090
Estados Unidos de América;Dato base;2022;5;314776
Francia;Dato base;2022;5;929452
Irlanda;Dato base;2022;5;209181
Italia;Dato base;2022;5;357729
Países Bajos;Dato base;2022;5;421683
Países Nórdicos;Dato base;2022;5;345792
Portugal;Dato base;2022;5;149129
Reino Unido;Dato base;2022;5;1651886
Resto América;Dato base;2022;5;349095
Resto de Europa;Dato base;2022;5;646664
Resto del Mundo;Dato base;2022;5;280006
Rusia;Dato base;2022;5;
Suiza;Dato base;2022;5;157008
Alemania;Dato base;2022;6;1132151
Bélgica;Dato base;2022;6;213015
Estados Unidos de América;Dato base;2022;6;385447
Francia;Dato base;2022;6;869316
Irlanda;Dato base;2022;6;241699
Italia;Dato base;2022;6;403785
Países Bajos;Dato base;2022;6;385829
Países Nórdicos;Dato base;2022;6;382829
Portugal;Dato base;2022;6;234782
Reino Unido;Dato base;2022;6;1809242
Resto América;Dato base;2022;6;373887
Resto de Europa;Dato base;2022;6;652092
Resto del Mundo;Dato base;2022;6;260909
Rusia;Dato base;2022;6;
Suiza;Dato base;2022;6;153173
Alemania;Dato base;2022;7;1097080
Bélgica;Dato base;2022;7;421294
Estados Unidos de América;Dato base;2022;7;364025
Francia;Dato base;2022;7;1421122
Irlanda;Dato base;2022;7;279865
Italia;Dato base;2022;7;471298
Países Bajos;Dato base;2022;7;559885
Países Nórdicos;Dato base;2022;7;577936
Portugal;Dato base;2022;7;302240
Reino Unido;Dato base;2022;7;1893450
Resto América;Dato base;2022;7;398675
Resto de Europa;Dato base;2022;7;735318
Resto del Mundo;Dato base;2022;7;333474
Rusia;Dato base;2022;7;
Suiza;Dato base;2022;7;235727
Alemania;Dato base;2022;8;1111063
Bélgica;Dato base;2022;8;302063
Estados Unidos de América;Dato base;2022;8;223790
Francia;Dato base;2022;8;1647034
Irlanda;Dato base;2022;8;230202
Italia;Dato base;2022;8;640666
Países Bajos;Dato base;2022;8;526669
Países Nórdicos;Dato base;2022;8;308597
Portugal;Dato base;2022;8;436687
Reino Unido;Dato base;2022;8;1840664
Resto América;Dato base;2022;8;297488
Resto de Europa;Dato base;2022;8;719280
Resto del Mundo;Dato base;2022;8;396199
Rusia;Dato base;2022;8;
Suiza;Dato base;2022;8;168263
Alemania;Dato base;2022;9;1141699
Bélgica;Dato base;2022;9;281751
Estados Unidos de América;Dato base;2022;9;337593
Francia;Dato base;2022;9;915947
Irlanda;Dato base;2022;9;233272
Italia;Dato base;2022;9;401483
Países Bajos;Dato base;2022;9;415211
Países Nórdicos;Dato base;2022;9;381768
Portugal;Dato base;2022;9;259647
Reino Unido;Dato base;2022;9;1794754
Resto América;Dato base;2022;9;394644
Resto de Europa;Dato base;2022;9;704789
Resto del Mundo;Dato base;2022;9;334717
Rusia;Dato base;2022;9;
Suiza;Dato base;2022;9;169936
Alemania;Dato base;2022;10;1059486
Bélgica;Dato base;2022;10;221570
Estados Unidos de América;Dato base;2022;10;316276
Francia;Dato base;2022;10;915762
Irlanda;Dato base;2022;10;217518
Italia;Dato base;2022;10;356677
Países Bajos;Dato base;2022;10;351388
Países Nórdicos;Dato base;2022;10;482246
Portugal;Dato base;2022;10;162431
Reino Unido;Dato base;2022;10;1525460
Resto América;Dato base;2022;10;420832
Resto de Europa;Dato base;2022;10;623625
Resto del Mundo;Dato base;2022;10;301242
Rusia;Dato base;2022;10;
Suiza;Dato base;2022;10;222471
Alemania;Dato base;2022;11;526060
Bélgica;Dato base;2022;11;141745
Estados Unidos de América;Dato base;2022;11;200787
Francia;Dato base;2022;11;589080
Irlanda;Dato base;2022;11;124203
Italia;Dato base;2022;11;264514
Países Bajos;Dato base;2022;11;187890
